 Total new objects: 3207143

count   	exec(ms)
--------	--------	------------------------------
...2100182	....-24750		undefined[]
....504006	......2661		java.lang.StringBuilder
....436463	......1022		java.util.HashMap.Node
....411205	.......708		jalview.datamodel.Annotation
....232907	.......323		Float
....215619	.......902		jalview.datamodel.features.FeatureStore$SearchCriterion$3
....206107	.......370		java.awt.Color
....206007	.......387		Integer
....205602	.......863		jalview.datamodel.ResidueCount
....205602	.......427		jalview.datamodel.Profile
....172921	......1119		java.util.ArrayList.Itr
....170025	.....-2281		Object[]
....139805	.......151		Long
....138605	.......377		swingjs.json.JSON.JSONList
....108563	.......372		java.util.HashMap
....108553	.....-1316		java.util.HashMap.Node[]
....107812	......3263		jalview.datamodel.SequenceFeature
.....79143	.......375		java.util.ArrayList
.....61212	.......381		java.util.HashMap.EntryIterator
.....52231	.......467		java.util.HashMap.EntrySet
.....47590	.......294		swingjs.json.JSON.JSONMap
.....46224	........94		swingjs.json.JSON.JSONList.ListIterator
......7084	.......187		jalview.datamodel.features.NCNode
......3870	........10		jalview.analysis.AlignmentUtils.DnaVariant
......3051	........30		java.awt.Dimension
......2153	........14		java.beans.PropertyChangeEvent
......1567	.........4		jalview.datamodel.SequenceCursor
......1356	.........6		java.util.LinkedHashMap.Entry
......1329	........46		jalview.datamodel.features.NCList
......1290	.......-16		java.util.ArrayList[]
.......687	.........4		java.util.Hashtable.Entry
.......684	.........5		jalview.datamodel.DBRefEntry
.......505	.........6		java.util.TreeMap.ValueIterator
.......479	.........2		javax.swing.event.EventListenerList
.......449	.........6		java.util.ArrayList.SubList
.......449	.........4		java.util.HashSet
.......449	.........4		java.util.ArrayList$SubList$1
.......444	.........1		jalview.datamodel.HiddenCursorPosition
.......402	........-5		java.lang.Class[]
.......383	.........4		javajs.util.Lst
.......346	.........1		java.awt.geom.AffineTransform
.......346	.........1		java.awt.BasicStroke
.......290	........-4		java.beans.PropertyChangeListener[]
.......287	.........3		java.util.Hashtable.Enumerator
.......280	.........5		java.awt.Rectangle
.......276	.........4		java.util.TreeMap.EntryIterator
.......274	........-5		java.awt.Component[]
.......261	.........2		java.beans.PropertyChangeSupport
.......261	.........1		java.beans.PropertyChangeSupport.PropertyChangeListenerMap
.......226	.........1		java.util.Collections.UnmodifiableSet
.......219	.........0		com.stevesoft.pat.StrPos
.......206	.........1		java.awt.AWTEventMulticaster
.......200	.........2		java.util.HashMap.KeySet
.......200	.........2		java.util.HashMap.KeyIterator
.......198	.........4		javax.swing.plaf.ComponentInputMapUIResource
.......187	.........2		java.util.Arrays.ArrayList
.......182	.........2		java.awt.event.ContainerEvent
.......176	........-3		java.util.Hashtable.Entry[]
.......173	.........1		javax.swing.ActionMap
.......173	........-2		javax.swing.KeyStroke[]
.......171	.........2		java.awt.Insets
.......169	.........2		javax.swing.JMenuItem.MenuItemFocusListener
.......169	.........2		javax.swing.AbstractButton.Handler
.......169	.........1		swingjs.plaf.ButtonListener
.......154	.........1		javax.swing.KeyboardManager.ComponentKeyStrokePair
.......138	.........1		jalview.datamodel.PDBEntry
.......136	.........1		java.util.Vector.Itr
.......130	.........1		javajs.util.SB
.......120	.........2		java.io.BufferedInputStream
.......120	.........1		java.io.ByteArrayInputStream
.......116	.........2		javax.swing.DefaultButtonModel
.......112	.........2		java.lang.StringBuffer
.......108	.........3		java.awt.EventDispatchThread$1
.......100	.........1		jalview.datamodel.features.FeatureStore$SearchCriterion$2
........99	.........1		javax.swing.event.ChangeEvent
........94	.......514		javax.swing.JMenuItem
........91	.........2		java.awt.event.MouseEvent
........88	.........2		java.util.Hashtable
........88	.........0		java.util.TreeMap.Entry
........77	.........0		javax.swing.ArrayTable
........72	.........2		jalview.datamodel.features.FeatureStore
........72	.........1		java.util.TreeMap
........69	........-1		java.util.concurrent.ConcurrentHashMap.HashEntry[]
........67	.......277		jalview.datamodel.Sequence
........67	........18		jalview.datamodel.features.SequenceFeatures
........66	.........2		java.net.URL
........64	.........1		javajs.util.AjaxURLConnection
........64	.........0		java.util.concurrent.ConcurrentHashMap.Segment
........63	........-1		jalview.datamodel.SequenceGroup[]
........60	.........2		java.util.Collections$UnmodifiableCollection$1
........60	.........0		javax.swing.SizeRequirements
........57	.........2		java.awt.EventDispatchThread
........57	.........1		java.awt.EventDispatchThread.HierarchyEventFilter
........54	.........3		swingjs.json.JSON.JSONReader
........53	.........1		javax.swing.JToggleButton.ToggleButtonModel
........53	.........1		java.util.ArrayList.ListItr
........53	........-1		swingjs.api.js.DOMNode[]
........51	.........0		java.awt.EventQueueItem
........51	........-1		jalview.datamodel.SequenceI[]
........44	.........0		jalview.util.LinkedIdentityHashSet.IdentityWrapper
........39	.........4		jalview.datamodel.HiddenColumnsCursor
........38	.........0		java.lang.StackTraceElement
........35	........90		javax.swing.JCheckBoxMenuItem
........34	.........5		jalview.util.MapList
........33	.........2		jalview.ext.ensembl.EnsemblXref
........33	.........1		java.util.StringTokenizer
........33	.........1		jalview.datamodel.Sequence.DBModList
........33	.........0		jalview.renderer.ScaleRenderer.ScaleMark
........32	.........0		java.util.Collections.SynchronizedRandomAccessList
........31	.........0		java.lang.reflect.Constructor
........31	.........0		java.awt.Point
........31	.........0		com.stevesoft.pat.oneChar
........30	.........0		javax.swing.KeyStroke
........30	.........0		javax.swing.ComponentInputMap
........28	.........0		com.stevesoft.pat.patInt
........27	.........0		java.util.Vector
........24	.........1		javax.swing.DefaultSingleSelectionModel
........23	.........1		java.util.SubList$1
........23	.........0		java.util.TreeMap.Values
........23	.........0		java.util.TreeMap.EntrySet
........23	.........0		java.util.AbstractList.ListItr
........23	.........0		jalview.datamodel.Mapping
........22	.........8		javax.swing.JPopupMenu
........22	.........5		javax.swing.JPopupMenu.Separator
........22	.........1		javax.swing.JMenu.MenuChangeListener
........22	.........1		java.util.TimSort
........22	.........1		java.util.RandomAccessSubList
........22	.........0		swingjs.plaf.JSPopupMenuUI.JSMenuKeyListener
........22	.........0		javax.swing.JMenu.WinListener
........21	........16		javax.swing.JMenu
........21	.........1		jalview.ext.ensembl.EnsemblProtein
........21	.........1		jalview.ext.ensembl.EnsemblCdna
........20	.........0		java.awt.FlowLayout
........18	........98		javax.swing.JRadioButtonMenuItem
........18	.........0		java.util.Formatter.Flags
........18	.........0		java.awt.event.ItemEvent
........18	.........0		java.awt.event.InvocationEvent
........18	.........0		java.awt.BorderLayout
........16	.........0		jalview.datamodel.features.FeatureAttributes.AttributeData
........15	.........5		javax.swing.JPanel
........15	.........0		javax.swing.JComponent$2
........14	.......183		jalview.datamodel.Alignment
........14	.........8		jalview.datamodel.HiddenColumns
........14	.........1		java.util.LinkedList.ListItr
........14	.........1		jalview.schemes.JalviewColourScheme
........14	.........0		jalview.gui.ColourMenuHelper$3
........14	.........0		jalview.datamodel.HiddenSequences
........13	.........1		java.util.LinkedHashMap
........13	.........1		jalview.util.ReverseListIterator
........12	.........0		java.awt.AlphaComposite
........11	.........0		jalview.jbgui.GAlignFrame$1
........10	.........0		java.util.BitSet
........10	.........0		java.awt.geom.Rectangle2D.Float
........10	.........0		java.awt.Color[]
.........9	.........1		java.util.LinkedHashMap.LinkedEntrySet
.........9	.........0		java.util.LinkedHashMap.LinkedEntryIterator
.........8	.........1		java.util.Formatter.FormatSpecifier
.........8	.........0		java.util.Formatter.FixedString
.........8	.........0		java.awt.Font
.........8	.........0		com.stevesoft.pat.Pthings
.........7	.........0		javax.swing.text.Segment
.........7	.........0		java.util.concurrent.ConcurrentHashMap.HashEntry
.........7	.........0		java.awt.event.ComponentEvent
.........7	.........0		com.stevesoft.pat.Bracket
.........6	.........0		swingjs.JSFontMetrics
.........6	.........0		javax.swing.SizeRequirements[]
.........6	.........0		javax.swing.DefaultBoundedRangeModel
.........6	.........0		java.util.Formatter.FormatString[]
.........6	.........0		java.util.AbstractList.Itr
.........6	.........0		jalview.datamodel.Range
.........6	.........0		com.stevesoft.pat.SubMark
.........6	.........0		com.stevesoft.pat.Range
.........6	.........0		com.stevesoft.pat.OrMark
.........6	.........0		com.stevesoft.pat.FastMulti
.........5	.........1		swingjs.JSGraphics2D
.........5	.........0		sun.java2d.StateTrackableDelegate
.........5	.........0		javax.swing.event.InternalFrameEvent
